Subject,TripletNumber,Rotation,MovementCondition,STL,Experiment,Retained,RetainedRaw,DistanceTraveled,RT,Go,NoGo
18,34,ccw,go,-6.890891048,IRLRotn,0.733886717,-5.05713341,0.080371231,334,15,0
18,35,ccw,go,0.537904506,IRLRotn,-0.702530028,-0.377894068,0.08135991,368,15,0
18,38,cw,stop,-0.548127728,IRLRotn,-0.635715766,0.348453438,0.003659829,367,0,-15
18,40,cw,go,1.548213738,IRLRotn,NaN,NaN,0.081394384,NaN,-15,0
18,43,cw,go,2.196471575,IRLRotn,1.589112827,3.490441153,0.080106384,338,-15,0
18,44,cw,go,-4.191027244,IRLRotn,0.897726348,-3.762395585,0.080919259,382,-15,0
18,45,ccw,go,-3.610588565,IRLRotn,0.967006568,-3.491462857,0.080969679,335,15,0
18,47,ccw,stop,-0.946095687,IRLRotn,0.847726817,-0.802030686,0.004252726,317,0,15
18,48,ccw,go,1.307584408,IRLRotn,3.943884771,5.156962235,0.080230045,297,15,0
18,51,cw,go,6.362427589,IRLRotn,0.921180451,5.860943918,0.080155747,415,-15,0
18,52,cw,go,1.453487295,IRLRotn,-5.044720727,-7.332437483,0.080331826,324,-15,0
18,53,ccw,go,1.895602383,IRLRotn,4.063896294,7.703531496,0.080758829,499,15,0
18,54,ccw,stop,-4.911995193,IRLRotn,1.545295804,-7.59048556,0.004651026,323,0,15
18,55,ccw,stop,1.57194588,IRLRotn,3.810091552,5.989257717,0.002138499,400,0,15
18,56,ccw,go,-4.583700329,IRLRotn,1.516577802,-6.951538169,0.080755774,388,15,0
18,57,cw,stop,7.852857266,IRLRotn,0.760706633,5.973720609,0.00086403,442,0,-15
18,59,cw,go,4.034581633,IRLRotn,-0.227445847,-0.917648836,0.080693471,411,-15,0
18,60,cw,go,4.942114526,IRLRotn,0.847866653,4.190254103,0.080353906,356,-15,0
18,61,ccw,go,-5.935836028,IRLRotn,0.716661313,-4.25398404,0.080660874,396,15,0
18,64,ccw,go,-3.864321142,IRLRotn,-0.529017216,2.044292413,0.080297422,302,15,0
18,66,cw,stop,-3.455848915,IRLRotn,-1.029608927,3.558172893,0.003125933,344,0,-15
18,67,cw,go,-5.709694254,IRLRotn,1.278012084,-7.297058255,0.080250176,437,-15,0
